date,country,iso3c,region,subregion,population,hospital_beds_per_thousand,population_density,median_age,aged_65_older,aged_70_older,life_expectancy,daily_covid_deaths,daily_covid_deaths_per_100k,daily_covid_cases,daily_covid_cases_per_100k,daily_tests,daily_tests_per_100k,daily_positive_rate,daily_vaccinations,daily_vaccinations_per_100k,vaccinated_pct,fully_vaccinated_pct,EU,continent,group,daily_vaccinations_per_100k_region_average,vaccinated_pct_region_average,fully_vaccinated_pct_region_average,daily_vaccinations_region_average,total_doses,total_doses_lagged_1_day,prediction,rate
2020-12-02,Hungary,HUN,Europe,Eastern Europe,9660350,7.02,108.043,43.4,18.577,11.976,76.88,146.857,1.5202037193269395,5646,58.44508739331391,17201,178.057730827558,32.800000000000004,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-02,Ireland,IRL,Europe,Northern Europe,4937796,2.96,69.874,38.7,13.928,8.678,82.3,5.857,0.11861567387555096,268.429,5.436210811463251,10685,216.39209072225745,2.5,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-02,Italy,ITA,Europe,Southern Europe,60461828,3.18,205.859,47.9,23.021,16.24,83.51,716.714,1.1853991579612844,22962.286,37.978153753472355,196879,325.62528542802244,11.700000000000001,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-02,Latvia,LVA,Europe,Northern Europe,1886202,5.57,31.212,43.9,19.754,14.136,75.29,5.714,0.30293680104251824,586.286,31.08288507805632,6549,347.20565453753096,9,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-02,Lithuania,LTU,Europe,Northern Europe,2722291,6.56,45.135,43.5,19.002,13.778,75.93,25.143,0.9235970732004771,1852.143,68.0361871673528,11475,421.5199624140109,17.7,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-02,Luxembourg,LUX,Europe,Western Europe,625976,4.51,231.447,39.7,14.312,9.842,82.25,6.571,1.0497207560673252,528.857,84.48518793052767,9477,1513.955806612394,5.6000000000000005,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-02,Malta,MLT,Europe,Southern Europe,441539,4.485,1454.037,42.4,19.426,11.324,82.53,3.429,0.7766018403810309,121.143,27.436534485062477,2915,660.1908325198907,4.2,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-02,Netherlands,NLD,Europe,Western Europe,17134873,3.32,508.544,43.2,18.779,11.881,82.28,57,0.3326549312621109,4954.429,28.914302428737,25035,146.1055474411745,10.6,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-02,Poland,POL,Europe,Eastern Europe,37846605,6.62,124.027,41.8,16.763,10.202,78.73,460,1.2154326656248293,12760.714,33.71693180933931,36885,97.45920406863443,34.599999999999994,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-02,Portugal,PRT,Europe,Southern Europe,10196707,3.39,112.371,46.2,21.502,14.924,82.05,74,0.7257244912499693,4262.143,41.79921027445429,33193,325.5266626764896,12.8,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-02,Romania,ROU,Europe,Eastern Europe,19237682,6.892,85.129,43,17.85,11.69,76.05,160.571,0.8346691664827395,6315.143,32.8269434955833,23271,120.96571717943982,27.1,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-02,Slovakia,SVK,Europe,Eastern Europe,5459643,5.82,113.128,41.2,15.07,9.167,77.54,23.714,0.43435074417869446,1417.429,25.96193560641236,30358,556.043682709657,8.1,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-02,Slovenia,SVN,Europe,Southern Europe,2078932,4.5,102.619,44.5,19.062,12.93,81.32,49.714,2.3913240067496195,1465.714,70.50321992253714,5542,266.57918585119666,26.400000000000002,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-02,Spain,ESP,Europe,Southern Europe,46754783,2.97,93.105,45.5,19.436,13.799,83.56,249.571,0.5337870993861741,8672.714,18.54936210483535,131550,281.36158818232565,6.6000000000000005,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-02,Sweden,SWE,Europe,Northern Europe,10099270,2.22,24.718,41,19.985,13.433,82.8,59.571,0.5898545142371676,5092,50.4194857648127,39472,390.8401300292001,12.9,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-02,United Kingdom,GBR,Europe,Northern Europe,67886004,2.54,272.898,40.8,18.517,12.527,81.32,452.286,0.6662433688098655,14656.429,21.589765395529835,308030,453.74595918180717,4.8,NA,NA,NA,NA,not EU,Europe,Britain,0,0,0,0,0,0,NA,0
2020-12-02,United States,USA,Americas,Northern America,331002647,2.77,35.608,38.3,15.413,9.732,78.86,1722.429,0.52036713772866,166857.429,50.40969627049538,1559284,471.07901224729477,10.9,NA,NA,NA,NA,not EU,North America,United States,0,0,0,0,0,0,NA,0
2020-12-03,Austria,AUT,Europe,Western Europe,9006400,7.37,106.749,44.4,19.202,13.748,81.54,109.286,1.2134260081719666,3913.143,43.44846997690531,26693,296.3781311067685,NA,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-03,Belgium,BEL,Europe,Western Europe,11589616,5.64,375.564,41.8,18.571,12.849,81.63,116.286,1.0033637007472898,2475,21.35532359311991,29685,256.13445691384425,8.799999999999999,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-03,Bulgaria,BGR,Europe,Eastern Europe,6948445,7.454,65.18,44.7,20.801,13.272,75.05,139.143,2.0025055965759244,2652.143,38.168870876865256,7075,101.82134276086232,37.5,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-03,Canada,CAN,Americas,Northern America,37742157,2.5,4.037,41.4,16.984,10.797,82.43,87.286,0.2312692409180535,6160,16.3212717280573,117930,312.4622686509412,5.2,NA,NA,NA,NA,not EU,North America,Canada,0,0,0,0,0,0,NA,0
2020-12-03,Croatia,HRV,Europe,Southern Europe,4105268,5.54,73.726,44,19.724,13.053,78.49,58.857,1.4336944628219157,3398.429,82.78214723131353,9504,231.50741924765936,35.8,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-03,Czechia,CZE,Europe,Eastern Europe,10708982,6.63,137.176,43.3,19.027,11.58,79.38,123.143,1.149903884421507,3734.714,34.87459405571884,34390,321.1322981026581,10.9,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
