date,country,iso3c,region,subregion,population,hospital_beds_per_thousand,population_density,median_age,aged_65_older,aged_70_older,life_expectancy,daily_covid_deaths,daily_covid_deaths_per_100k,daily_covid_cases,daily_covid_cases_per_100k,daily_tests,daily_tests_per_100k,daily_positive_rate,daily_vaccinations,daily_vaccinations_per_100k,vaccinated_pct,fully_vaccinated_pct,EU,continent,group,daily_vaccinations_per_100k_region_average,vaccinated_pct_region_average,fully_vaccinated_pct_region_average,daily_vaccinations_region_average
2020-12-12,United States,USA,Americas,Northern America,331002647,2.77,35.608,38.3,15.413,9.732,78.86,2519.571,0.7611936106359899,216010.857,65.2595557642172,1829788,552.8016215531957,11.899999999999999,NA,NA,NA,NA,not EU,North America,United States,0,0,0,0
2020-12-13,Canada,CAN,Americas,Northern America,37742157,2.5,4.037,41.4,16.984,10.797,82.43,108.857,0.2884228370943399,6513.571,17.25807828100551,127405,337.56682216122414,5.1,1113.5,2.9502818294142545,NA,NA,not EU,North America,Canada,2.950281829414254,0,0,1113.5
2020-12-13,France,FRA,Europe,Western Europe,67564251,5.98,122.578,42,19.718,13.079,82.66,395.429,0.585263647783204,12137.714,17.964698520819834,190930,282.5902709999701,6.1,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-13,Germany,DEU,Europe,Western Europe,83783945,8,237.016,46.6,21.453,15.957,81.33,445.286,0.531469364446852,22322.857,26.643358700763017,216577,258.4946316385556,11.200000000000001,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-13,Italy,ITA,Europe,Southern Europe,60461828,3.18,205.859,47.9,23.021,16.24,83.51,634.571,1.0495398849006021,16404.857,27.1325852073146,155723,257.555891297233,10.5,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-13,Spain,ESP,Europe,Southern Europe,46754783,2.97,93.105,45.5,19.436,13.799,83.56,196,0.41920844761486753,6561.143,14.033094753107932,120699,258.15326744217805,5.4,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-13,United Kingdom,GBR,Europe,Northern Europe,67886004,2.54,272.898,40.8,18.517,12.527,81.32,417.857,0.6155274657203272,18105.571,26.67055053056297,337024,496.45579374505536,5.4,NA,NA,NA,NA,not EU,Europe,Britain,0,0,0,0
2020-12-13,United States,USA,Americas,Northern America,331002647,2.77,35.608,38.3,15.413,9.732,78.86,2559.857,0.7733645102844147,216970.571,65.54949725220777,1823126,550.7889488267446,11.899999999999999,NA,NA,NA,NA,not EU,North America,United States,0,0,0,0
2020-12-14,Canada,CAN,Americas,Northern America,37742157,2.5,4.037,41.4,16.984,10.797,82.43,111.571,0.29561373506024047,6606.857,17.505244864515824,126618,335.4816207245389,5.2,1542,4.085617046211747,0,NA,not EU,North America,Canada,4.0856170462117465,0,0,1542
2020-12-14,France,FRA,Europe,Western Europe,67564251,5.98,122.578,42,19.718,13.079,82.66,396.857,0.5873771915269216,12106.429,17.91839444797516,201278,297.9060627786727,6.1,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
